address,plmAmount
bNK9ooB4tBsJgegoCHnJgBrtCyAXegX16zF5asXXjPWJGuE,67000.898
Yk1rBwSMdi2NuUdJU89BJ5TeuXeeE6TgznDC8nsDvBMk4NE,998.992
ZMn4eievCRd8tv49p1hoVetwmQEjwwqPw3UmS9AVQURawrw,86000
WAgwNgGLe1ZYKxkYG9Me6n4y3YLphqRL8uBxjpd8axnrcF2,153600
bUX33je1sSEQN1WerLnpYqdnjV87KPdYYv1EBHVzkS9Nwx8,29989.516668868
aKnwXB9rt8bLdmyP7GgjtDNGqGqyM9KmRDuC9oBTTYTuQxW,570001
XLtXjCTyUbTyg8kcZ435HEksmxR7S7onejhrnPiewVH2jyP,5283199.999
aEbUqZwPSkrBQURJtGRtVVWD7rkG6Qr9AiTq8qfwTuRhEMt,599.999
XozQX6kdC5X7WJipbLCydKg1zwaTiyU9kyrYhdY3LJuP6sY,49200
Y6RbdTbhzF1p5KB4sV5s4Ze4qWfqQrgTQCqcpTgDoYQuFf6,54920
WrMhhwNS1xEu5wYhpxqsWJVqx3ezDzscANcQnrH5h1pBZaw,60912
aTM82XZDRzRFDYcRGW5d2SuZ3kt3H2bDEoGwzmXzxTGLHb8,649540
WtBFmU575WGgZr1rRXnCQ9HZeia3gVz7iCoxuMQB7YFGrnX,311400
ZXCXUTKJ256nSEFkGB7MHdDGBiKAYSNwzCHTartkfDV2m65,200000
ZWdDn3xHEjXn83Mzj1QZat5JRKXRWca5dvP2Ro314hQSKYW,43725
YSNUkP2C5MtZzRiQjjN1FMg4vKgfCDoC6mviWCk1Fchsk1i,33400
XSBEF7sS18VMYgpe2CMJKvGGKC7A1eaG2jAxPPKenyDAEwn,67600
YMorB9FFD4WMwhLTBwZac22X462KkHhFYHwsP55WuYtwAV6,291601
Zt3UMX7T2vyFGEL1uqFkKB4dqH8E6PE5mCKx2qpeZPmotcG,33250
b6FPuNQ7dQQqtKmGmKjoqPswyu8L8qTVEQR4qWRNZvGxCoT,1527200
Z3ipN7NcP6NKshDpcmBd8BW671FkCRvyZzNm23dmvs6mMDp,115200
YahmAkqJ5oAeJytS4me7ST3zJj6YpfRsRir6C97qq8bvo18,1
ZFpfRw3DiQJN2fFqYMUuUMGw9DshTq4Rnj2Lpan8fyMyEFn,15000.999
Y26xHcLkQpVZXF1N8XH62bSgboecHg5M5Y3o16xRTRUXuvQ,3041920
ZXiXokVXK7wPsQCppTFmk5HzxfQUeEqFScwgVpeeXz66paH,200001
YFVKUX4U1hyx8VG1CZP8ZxnoHx5SMnooPufjksh9BzCRdrv,109365.997
WoXoYCo5WCohyCo1rKVMDSGGvgq4M7PopNGswSbhyW23cQE,227279.994
bCeyKxVJrPj74Gy4yq3njRcuKNj9XWvJSta7S3p357J626C,63888
aeXZzkXPhggjLaXz7wRER3mtWpWnpDfj94xvx72SfFiBqRJ,30000
XhqXkd9MCkUgzFY9QgCwd4yPAjdDF7uKFLzBw1ystYPZR7v,1020599.996
adFyKYWefetdJ8afaL88ZMbmzeauGqRZYCRsWssngzTEKnq,276478.999
a49X8fAo9NS5KFUpmz7oSWXKVyF8WGk7GBqh8hQRZ5S2fcp,83160
b9aGKqgox2nBrmUknhLXXnkhD1tDjjGMYPqJ2j1zjXSr9pV,51840
beCFNAsRrbDDMSyB2YELMxm9dtrgfCEgz7JzXjjAi2SGo28,129660.055
YnisGLuLbfrRBdo8beYEHrX3MSN9bMG3Q23F68f4v7u4zxv,452160
XQJHroT4YeRhS9WBYQ4Qtm5LXpkoV7m7zRkbT7Ja6Yz8Xn5,54179.997
YiDAwfo4Yujur59aMv1BmgaEX6HYGT4kFJPNz9qjb6osKwD,1646811
ZcVHgj8sHTLmHUmTJ8Dr29sRLkVUWzqqWVtN5MmudBnrB8A,200100
Yyv3sfYUt2evNUBnQTB2aP7QQtR3MMU1SGig6cEXX1D7fwD,0.002
ZnSBtRNqAYZ9AK58c4wwYLaHqzc6kEbARdrsFJYHX9dqqsG,0.998
XDdPLubVfadSRVpyVHRWgF85hpA4Aw2HP1YkHQFH4tojrnx,1410991.995
YXFnHs3EiLF2Q7CQztzTGZiexUgm4Z5A34JmKSwwTJJr7GM,333439.997
a4WSf5XHhz9xFWWjChNvRQiSxsxGTErgCnc9S1sEibKBBZ1,79000
aXQH5t58g4ypVawYRrGoV2eBR493hgPAb2Ynup4j4TkWXPt,7872
Yvqu526S6Z1XWtuCDCk8mcnYQKwhys7SG53EeCRZBJuZzKj,34344
b9d55eaT2C7eTQw4bg3MNA6bzpBQnKK9fiQX4k1HC6BmeyK,8112
aWKnzALXZVVqbW6xftdg4PNuZTUwdWXpq2Rhs6nLNCKjbrB,503360
YXTVTfjRXRVepMTpYA1FAgVviNpPN4JQ51bksNY11KwZmRN,13752000
b9bv2Lwzo4Eb46CbbutKck6SbawMTTpxC6zomyGyjs5cTmi,1511676
XsXRm52Kq2o6dTBwfUtcbLht4QXRFrd16F9Ne5BPk5wHWXN,838861.2
YPXzeZqVZKzSeqtFioN6bi8zgBoWmhcS7X8Gdbbr3tvVov5,51382.484
ZfPfHSreLzkN3CCqYTtUHXq2ec9iR31Bb5zAtEK3EhRnCEG,1624560
XRXLq8su96wB6JvjwpwJa7YjWoXoj1P67i2GYt9RPgu5aEJ,131276.096
WiYSwmLxZmjv9ZbQssQoWSMvVzaicRaNCzmai8VGWrfngs1,2240
aCpxNvFU38848TMnwrwumxkT3c28BhWEt8U3oAH8LhYeNKu,305280
WW34JdwJnFGgMb4NnCTA6S15YcMCDnFSAASxVk3ApB5v9ad,1
ZWRC4Ro2xzCbfuemPpmFqWnXdhnFYwi2nSKMtsTZh2ne25j,3596969.999
WCRZp1KiuG41akRZzRFo86fXFaSngWhbm8bthiddqPNbcwX,58741.999
X8WHhsen5i9hg5W8TqiAMi8ZUnNGUpcVSTiVDyQtgiyE7FR,444350
YJ19VP6VXZEiiEGoTtrNq9mspHwRuMxbkawbrTmhvMv7QcM,100000
WquSG9YurECLpVgLYyhGkVKRFMaAdp8ut37caBNhqWH4XZQ,2543999.999
bRmaynQYypM6uUqf7qiCVrjReBLUk4u9BVxz3sgtGVbYfuh,44588
ZFaCNQJNDuSMS5xjgumPCNSsMeGkAQPktqC6ccLqRCMLas5,17200
aygadaYyKi1S5Hy8u39nLrN4yd18AGHTXJHCm5LJJrpdoVq,254400
aLJJsyYJftDj8cBkFj4QFUsbbJ3MCoQTQCeG1r6GMgyYa4r,138138
XVDfu8CeZ7T81GXthLypeqctRt1M8mVfZQJYhKJkwAMjhyK,688800
bQG6iWvD6warVBnTt4r7UHR1nesZ8iRvy7MUDi1MCQmPqXk,11135.812174837000
WwavASjGUir4noJ1c6NwkoGNDb7jWG8VNV7qgVTSfK3gz1S,998400
YGzQrMv3Ld4F6g9JkMu8hWyumNs7UT9eTCLLPM6JMeNwMr9,259200
ZLQceff57SM4zvEhkFKsA4jDwKWRuESVYYQbbQHo2cLM9Zt,11001.992
YexyEFqmg9fDDMWPMDM2xcFpT7YYUXSQRfC4aV9Bxo5ccwh,584564
aWM2snFjSCNCUQasg1QoBk2vzGuLPXjAArPb85v1aGGoHFb,65160
a9NTvFf3qHn4XnDhrj9R8jWUnr3hF7nhBJn7XLhPEbmVWmg,1568191
WCS7Sr3WqiwVFMQnx4tt72rQYm7hx9uwfyEKWkGmdw9CaQt,7122.72
WFqdJNT8dJpp3dShPEJa41nF4fNhEpmRDjfFwrtHEmX8Qba,3761.0496
WWNooYgWdcHV7giAXweDGbY1C7XffwVPdBcJqjJpv7MJvR8,406480
Z6HPFivBGShhKdNcPBYMXMc2YBh5N2RfxarHT1v4jHgd5Zz,413280
bQxCXpWjzqd8iJJ7yXiWhX92R3HESvYpF2ta13hZ9jj9yah,9200001
amhRnDFt4yjWpWBkux4yZvGs39qWuc8P4KvTTFNSsoskTEo,3950208
bAMzvU6TpN8EzL4Rjuv7HgMErEdQZ7j2vFkGUGmRKyrPdax,0.634695392430266
XLfizcMzhkKwV4sQ2wwKdjqepn1zgBKJzVJrtWFjhuSfbk6,413300
W91NUA9GGyRZAHKNbs4mLRUPZjZYWfBT79r7PtNvjC1m6e6,251787.2
Wfg9D7Lkr3BwBzSeYR1uLGyQLmyqAaS9PbAZqSJUAFm6Hpn,14599998
b6ZJL4JdPXQn5m7mwrcjo7dno44LRdNDtkLPtW9atprqJMy,73472
WVGK7SmRmrDdnPLW6agvunjM7fQmi1cthtkF6xyNVFqqjCx,114307.2
Xo2um7bLGcXxVa6Ka1HZYsJqP3hf9yDZBBKL79DzAcS5K4v,3528000
YPkJXofGrZ88tTMUXyjc4hYGhe1vwtQDgbMDTCfDMsFk7KJ,99900
Y2nKHa9Mirc5AgbRFRLmQWRj9pmWpvPtQ4ky9RDoe6gY3vs,0.997
XyfWehKNhZaaLvCExqHuyFmV4Uc259nBEuthcpkCV5a9R2j,0.996
ZkiDPeJbj7DkzxinmAgT65wkBXEusRzkUUgPGD8ye48arym,0.5
VzybsuYjYGtgAPudcFgG9WNMtLibk1yrzwzmy5NGjcjJcJs,0.996
ZCmDicJrU5We8a9nVytESo8rN7vGLt7tB55t5YN6bpV2RUf,154000
bKV4d6SoLxPd7gkMp2VMQRQVRAWyuXj9PLM9cHG5C4dBWTt,171000
XXYwi212YDLtSiexSrWvRgD3j33vmAevF4KjKNFBFiu5n2P,999.999
WsdR6dh2yQ8qwHFGZZL75EHvt5DZ397orXBTqFMST9YzDJb,105.84535294894600
Yb6smMUZs38cuAW6H5frxjf2qEEV3cJTxvggPwsv57ms8Zi,76364.262
YwX6Qc926Vc3hpSnWhR3Tk2QCxPUJsu82AVxXe1na1tXhvW,617600
YvNx6ovCCTKCFEHKjdUuWcQ1rHL6rkP3uPvwkq344v1xYpu,52299
YCskMrHbkiEx6VMBpMHVruHkjrjbf8NfuNVENZMsnYYDxYk,205440
XUbWpH4B4WAsKTHERPN7bBQBLUiqciZoX1UnHJG5hYsJV3H,5
Wy8211h61d6D62FAabCLa1eX2QcNr6vgrc8w7PJWJ2EdREE,2208000
abGR4CEWwraMgX3ESL9BKQqH1KipqEKiE1gGX2aaHjsUibp,53352
bbfoep6tU2SmpVELFLJR2xFTA7BV1iTVU7RvDBJeEmpKMS9,44694.6
appuZAwsP4Ypb6gmpajeBzYsW4cLxS9eQvVMV325U7JaxiZ,1582015.995
XdFWGpFwGSqRMDWXsizcShXffnMTHvnvYixLGm9LHdY1Jkp,0.99
aZpAodtbbcm2XAmywZRp8T3NqdWcs42oDddk4asMAD7DAxN,41600
Waru2XhEXUmHzw893dD3DqsV51UTs6rgbvxF5hXF8DSXfeq,299200
Y2XRobQmuJjHKwuap1AuXr4vEDwnodyLhjXbc1EczR1y2R9,5
YkJzXZNsZAQyo2zJzPL92C1QqEzCcHSff4MsrS4fP3bTha7,59400
YmgFL3tB3EwWRXas6iRP4fphy2wGdLUZ4H9EkaiaG3P5EQj,28480
Z2bCk5BKfcQ5Sqzbwj9Ust53tYV3Hp8xfpb9G3ZQxXHy7i5,99999.999
YDEdL7J5KLE7fnDNp55xxbvpmYQfyBMTacBPwXiw6Y2hA6T,157999.997
WDTsgvBHcGyRzm4VooWaEtkuMQ573B2cUSyALnh8UNssJ4f,318000
ZcRm5b8FvC8B8APy1jtsGH8YwB8Kh7FKCTjNKsYi84eMpxn,65312
XomEyq9w3ja5YG84pQv2cCdvZdEJrtPkFh8EWR249Hh1FrU,66666
b1CeyqX3hcnEosYvv8B1ANgMZbg5MaXRiUHYoUoSmgitGp7,620789.999
b41JZi2rd2xEwjdue7sQNCuCMmRh8ZDvqrBx15793ZKuhmq,1250000.996
WYVntBheLspGRKkR2Te8DM91Dut8FTwpwSKiLtiwU1QXuZu,3187200
a9oEswHQaWKPR6Jkmy8MBs6Gs9rmWfj7NJPt3c7xN1Dj5tU,0.995
YZr6b5DynVxkNytT7HBogCnn4kpnzXhYKrhUkG1iX3AAQ5a,56520
Y1HDcjPVgReVWf2fifRbmKDB11ZUtTsMJZGmj4DGzQr6CFA,4838910.951
XqbJjWyRVFcZKvrtszJC7ebzJCe7zQMaPhekQquVcYSVTQY,3371168.9987354400
Z1qXHv4woFSrxmqBxCeNXXB9ZAa7hHddBM9KFNyrZWrTmNn,114480
XJkoHRas9x56sRH4p3rC1EWxYDsbVEWuWCvG8ozGqi5Upxr,21878.4
bembEEXRCL2n6B9fMs8pk3r3wMWSkMtAnyp4orzVKdc6kuU,286560
a53N2s3h4ZP32aYeBFMerskRxJ6ajirJE3R4JDqRmwp44Bm,20527.999
ZrUCcA8QfjUi39kiDo9AGSes1LiLTajeBqxRikGaNHv85KD,15520
b6pnVwqTCv85gvHMMSp5ZM1QxfgSSkTY1BrUfgvtTgJ3UTU,22271.626349674000
W8di5qodYmYcQ7hBSNwSKpUL3Jewgtv9VTK8izTua1U7ps5,339064
YierVjeW8fwtgrtQJUMRWoC5UXrydPW2L2T9KLwgLxFoJpL,41252.373
Y1xuBLCBKzvQwwyo6RJQn9guipXDZeZ8erVKdKtd1t4mF1G,3888
beaEDnzWYXwBF4vz1NQqiDt4nA9zXrHUAPhGzW5L2P5dm1v,202110
aPdm9tSKMXMwkHek1g3C2CAXaQ6g6Y5CtJnhhoEkia4S4MA,111600
aemMEdrdJYjw2ph768jM5PUF3Nsh8nQzVsUdwpJpr4AgEck,918399.999
XySKtUJ6EnQzgZCXWfEKLzpPCxJrtFq8EJshWezJHFFYzYj,41.999
bRifnU5LavQRQJGfQ8JKAjZL1kP68yGKnyf27s9NXmXx2jj,1984600.3677927400
WMQW1bKqpuegAmfDX6DEW76LcDJjKbadEv8ryLeocB9CksK,100000
WtcBo6iG2YbZA2d2FEg48rAqeyLag8fSFedwYER8QwkSSdB,227880
XdbzUTRQGoF62MZ2AAcQPivPs5K2BtS2rUxvJ43jbpSLhhu,489600
aTRUxXJSE9QkgyZezqGSf746WrhGg9L9TK9HjSeMv7JBLF9,15200
Y9gdgx8Wv11sUk4ZyCVRydgxSAbsjoNx2d4ABYxF4Fhqu5u,2559999.999
ZWuQVyzGarjNNVkaQ4tDKPQJ1zbfEDSD2qohrq6jPZMhsZQ,100000
ZF6BgpP6jJ2a5Jmd5tvd1MckocAcRaYwqBamAdXuiMraR7G,118808
ZZj33Fp394PKZdw48PMHnEBXefm8swDoFZmYCAhRcc7p53H,57240
ZXPA8CSxYHy79VY8hi9H83LUAh9v19JWBvC8FAMD4V15qi3,1890000
bgcYojpLTSXaqmgnMKgxmTEnh2QaM2NiMaWs6XX8Ar5fsRe,50000
baK9wBGM2JcWqgiV14uviCL2vWrPaAiM9p88VDpCic1mzpG,59.992
XfZ9VsJ3U7PjkVUnWFNcPBv3AmC8M4Eo5FFQsfeMQUzn1DK,3423467.998
WG58pwxgq7ddkmGHXsmQrub6Kgnmm7U9QGtrTdz3y6wEKyX,100
Z5NXk9Yg7uBQnjnGDXzWHBqQCd78QgQvfjqVcF6hvxx9KyT,11347.68
Wdrfmo9WETGnQVVkjqUsqVhs1wKmVBZQYaBC9KBVF6tp2Yk,1028160
XfLP7AAS29edF5SXKvaH7MNJdYS2s6fGgbozLgaeSxkK1PY,501120
WaR8jMUVxGCiwPDH2QyvpmCfC7ibWfuDf1gaRzERwJEZ11e,62800
WMi4hU7AT57YWQ4nvsS1J96cK8i548KPYys23isGLxva1TH,133000
aKp138jnkSVEGGUdLZW4RAwW4bxVwfRW1e1JMtgyQRNJqXM,264000
aCgkaZ8AXSRNmjKQ3kt7CpHU2KyymTcW89V3CSu5eKUNVCa,2500
Wn4beWHSUR2AwgqABgKLPWndSptxjn2EnhQxHFcvtht1qCz,0.995
Yy7LojhroesHRjqPXgp5qHoUhCkMnJt9h6awp2zjTtCQotD,50661.6
XnuPJ2SnvjQhprnue5YLu7n9QSVAmsZVLsLuVmrZiyfAncd,1286298
apzdWEtmQSWMYZsqhiYAhMTiEAiErL6tiEp724nXMbT9YkD,91680
WTDX5eyVKWDyx6D4RdDQh1AxqnS6wBMhhgLFedRrwdDi531,142080
WDt8Uhgry3UyGMCVygAcqMss6xaBpbYArqh6qNp2cXf5uhJ,127163.999
adEYcq7khbj3K1b1jL242GCno3aRKxvBjxezhkLcapfXny9,48640
aXMmKjY8gSfXE9KEQn8SES8GmpmToioPo7ZeiKTcJKDJ38o,22800
WQUZo27W5SNgfJsGP9uEwKs4MnTDm8UdU2mvaurMZbnwbn1,284160
aQKVVFKVJuLqE5agd9MJx4mxgA42Tmymib5b1Ujb9FrsK1Q,896000
YsrPVhstotQd4oFx3iCtKMTBS1bydJVJbGZ2zPoprQ8cBqx,1496000
Z88RsHMUQZ3UXWWLugwCCPx4MqaLQnYPV8A44Sdgb55bCPx,20000
WkzWfJmig9Si5JGFMKQkJxD9NjgQTeHetAgqYG3xvXW75zq,992000
XSYLTbnVcCC64ZACDVea1qJj1qqg2bZLRJvWMTm2EdJ6QDf,30000
YXpDGckRgDLzosRNYekXAV8UUC3ZtrpErTgZvFzqzwVU1Bt,801280
WEbqf7y766FvZTZkvArJWdXNBZCjo2MLfTfTfALVUgxcZv1,15600
aFvt5HXpeNLaKWHzyeJriaEnW24XLZTXjbWaexVZoK7WynC,3013.92
YqnVq4SPvYioyZRgkQs1GkKYwGLsgmZfngRVf3ugtoqAdbX,1555200
aexyMjyFTHHLh1mtey9JkNN7QAc7ArTcGD6LBJ1PVnPXr2U,33344
ZyEtaWVMGt688ZinrzFRPAQzfps1i5DSc4Dr6pKdGuYh95L,249600
Y2khcfzLhG1JEqKPEpRYoErNCzFHAK4MfaMoNbnNDs8AVAx,2736720
WzeMmXjxmYZ7q2AvH1U88ZwzxeUUtFCxJhULWUSwoKFsxho,850000.999
XFNv9dzszXtoQ84rn4VjCa7X1gx1VYwNrFg2P2Wpt38GF72,811200
XFMP76hr8hzz354HV2ZFr8JjHE5YFEdYZQmKyniWCdLyNVS,112500
a99hkTVy9CcBMfQSDACAH8NYFZhGcn3tzk3SBaXDBPu4YP8,152592
WQJLx4MxwSp2PAZqPfyaJFvbzbxsML4PzM943ogt72a3qmu,985664.96
bHaGrfJiSZzsUDfpMnFmfe76a4GuyCi3c9N8snmNFDvhC12,4230093.98
ardJT81V7PKyt5Q6xwNe6kdjvyTpfn6Q6tAt56V6oEwQCrZ,55389.6
YaEnn5YjvzcQxsaBKKFokqFDfUNrpWMCqKYHwH2e2A4Lz9u,16300
X8TAHJBbpCsWEmvucskNpZxLw5imDomBd2xQULsMvGdDpFP,78540
Z581vGPJ8gJH8Db1VnYQUnWi5dWAZqeEKpWEezjd83jcuPm,7609598.999
ZCZW3DoawCATfff8gk25nMmSBHNJ2Zvgw6uKHPQp2u8Kvze,25002
X2zGSUQpfC3kTDoeGChAcrjEKUvaoHL78YRn2sYKHN57qaH,305708.493
YfTPPqeCjzzLaZmhgQtJwSLMrEepKBGjnK3iXDHjJv7Qd5K,4992000
XSSVHKanmaBcKtFFmFJZfphp9Pe3wgAXtEJyu8PBV3gz9Cr,276800
bVzxMKELvi7Lg2TRiAdqskgAhWR3marwVSNbGg8mZKP2neg,176408.9215815770
WaaHseo5nGHmpCRvQC3RgysMW9YC2fNGc8bL7fhJBy1JgoG,512000
XKkWuRWv1tCYix7DLeLmb8NWEd5Hg1pDoTY81c5tGvtLaNU,35820
Wq3LLeCBbZcsLLfU13QiLVaMk9AW9VXCN4XJyEG1n4hbg5E,75360
Yg55WrS45m3zDhKELarWsViPvL5EU3UXVLsH9rjMH5Bv18P,329600
YRLpLpUscgpBwRc1qwF2NZZcUHzpwLrEWLQuoLYrmai6Bop,297548.92803164500
WU8UWzE5qeQqWSoVE4Lt1JW97zKwXRFbC316xSuVGAP5qAi,23846.4
a2jHMAn6pdoXu82tQCAQ6ERKav6bduWnmCMyZmSmpRZib4r,458752.998
Y2MSsV8mEJpj6NRvorQCufTN5hJLqowEeSF13PmynGULdRm,1228800
ZnzTkKVBMwzc5dH7SRZhqwejZN541k5WWUTPvn9JLyNnPYd,7200
WJgif3YDKm9UoVg4WLLiqALJMFigQL4ZdswiLhMAFJL3yqm,374313.6
WYh7hhB2uLMW27xuCA6xYPSGo2Dz7U57SRNBcxS4ZUqMvz4,72680
Zq8brpmihxjbLGW6zaYaYaRC9owLK1ZWJvXm6BZdvqqPQg9,0.779
ZyjonfdqJxoVsEeSWdytafThE7iopB3d3aAjWt6ZbquJHpN,152300
XtuYvRKLbAgWpU1Qbv9uacvEGTJhZWZmxCkXYj7b869SYL2,57992.4
aCiMZ5FqQ4xFDAyhztEs9vwfUu5WcSJAA9rP79iFbtqiDSR,208290
aU9NHk5CtYe2NjTMTC84fha1uBm3JzMqY8MwxY5jniVtKU4,931200
a4TjBHfUTj57ynZPvo4dr2QdDoGw1XhExAtSPLTXSNn9aUY,19080
anBsu48av8u1Mm2g8RZ3hzuxjMkq4Ddu3wNmY9GgUpred68,1539262.4
XoVad7cD8XRrSKZH1U2enehqu9rDyAAZBnm5cnQxJ4VtxJN,2669
a7xqDaN2GD881JNihJvRZLunDoYSNSt16D1oQQQq1S8iEJi,0.010239177018734
bEH9wHvvNUPFwyssJ1kGD2qtEvsRnQKfWP5U9vjbpAyHGXC,16900
bKMmFWUtxv6rqKa4J7acJZ2LLENj93hh5FpJhAvUfY8qcFf,4523040
a4PDd25PcBmyvGzLyV9Hm9TMf6gbX72rLaKtBeaLCXh6fZh,0.28064342895296
ZaNA65vuvvxqUvmcHxjGVgvgQoCjnEv2GnZ2baKvHwYNMgc,127200
a8JtHmfZTRnRmYAdomjVcgbeRjVsqYYECq3uk45ssy4Zyw5,4740
ZW8LnDUHFXV6Wt4VdxaCrR5H7ad2e8e1Ng9nidpR7bzzjU1,475600
WYu6GSyzfzaHz4Dn7xgxmX3Jh4f1u8kUrADxyx7C6JTqim5,112320
WpZgMKwSmNiE5gptq1hzYeUz4vaZAy7mGV37xVjtcaSUE5R,206440
XaVtFumE41NmZGCz8dZqcJaRczZmJpLPcPdMZP4XveWtxFb,40000
WAugdTLZVhBtxjkeGN2EHCWUL8o6oRuHakszw1DKu1oTRgt,215000
X2Po9rPyAuPEbcT4LYnPGDRvA42zwWxbm6nkxAENBJpMjzR,309680
XYEnJ5SBQ4kqdoctb4GKDUACkh6v7U58u47NFvU3a8hVikd,37200
Znid5Bjoq6QQgbjr2t1Qj5StFZ9632P7aF5pQUpNJsa2p6w,0.995
XUw5hVddmc3f12Udkmhzcw28w4Gp1L7e9ze1A8i5NAA68se,88000
YoHv4AiKYqgokQrz4XnHZfqSEC8X9b2tLvbriNkkFYDF3LJ,19008
YzH5uJ7UVAcg8xyDDwdoYLWfhQHFex8QRaResf2TGeUZErC,1478400
b3sdBn1BxoPyefJ4aaJjfQKAgv7NZCZMfqQnPk8RBwSmWe5,376051.5
ZAcfqkrasQjUc3FfSHmBEM9SQerGEzvifG6avg4kVTGYQ7u,583.998
a5nnNCBtZQMG81wSqitLHukD5abbbmth8E2WKXjgq2VcqFE,73920
aHPd6oAr3g3ck1dTjushQK7ZeuC5UunUBF3NnWUPkuV7J6V,159120
YwnuNtrGcHa7jxz4jLibeCxxrqKcrUurYAjM2GTLVPr3Kbf,45875.03039539410
W7nF8Y1Kk1hLEMdRg3Uo7vALBduXSdHLyixBu9LHLTrYxYR,16200
YGmhbrLJ83SNMF2r8bzXsTiBBPybjZcKjXBtayinmTaEKB2,3706.558
WtZcSgrwgQxKiaj434PNvFXX6WUKDtsAnEkwH3JmdJfEF76,300640
bBtftcv7FvwECjoVeTwwrKVW653KP3Qzu88rkobPkv6hfm8,13531
XkZ838JaYd6D4uVKehRK7dvUy2ENxDjUH6WkeWgRB5oxti4,1620
XFuT3tAe4VvX9T3x8p2DMyG13dq6LHbcAUmeoL2zahPgrrj,1890500
ZAAQyRHenmPgDvwkckKRrrdLMRnDqg1xnWuh1gQNpWSypNv,812000
bL8UPg7kP9k6tHJaNbNMpqjxRPYkQHuS7SsEvmCFJWiydG6,1065.6
Zo3Yi8nfXAp8YwSoBctBvr166y9XCagqaUKxKP91gEEToTc,10
XavV8frc3nkbx7BAg8QiVrxDHkdR3PjpR3hcf8v46CcqcBD,368999.998
ZZVyQEKEoNXNR6B6CbBJqvRFeg61629gFNfTUKZBnurPpSj,2.998
XXd2Faj3zSAWCZ84zEwodZ1d56cKS6L5S2pMfpvyK7fQ4SS,9.997
XvDiyaPvBFgyH9rQKd1RsBuA9zDFTqWzBxjXSYU1wuAB6Gf,467040
