address,amount,memo
15K5ZXpqUHkNXHaDpduR49odjy5mwdAb92ASwWfNj5ejEEBD,1128895461221850000000,
1122baMYr18CfTKPqRerzM4Zthv7q6b3aJtEbugg32g39GK,10567518268863400000000,
15BBJkUcUH67E1D7cr1NcDRfxFQ4ftT2vmbxevbVqjaHZw4o,323134139458089000000000,
14SugqyjTp4BCWqMR9LZsa6q9Y28nDoWuzmtjE9D1fcASeiL,3048322577556750000000,
1565PUpCnqMci51ENaB59GQU5syUwVxzQS6whAocZDpUWvFv,10161075258522500000000,
123ZdDJCbxbiTLt7tGUpXcdhTF6nbdAsvMo6RLPzREW78Yzu,248999070005862000000000,
13rWYJ2DWj4ZQrZWfVJRJXqVSaQfd34QmRJrsJdSsApnnmK,8795838539641810000000000,Equilibrium
13BAPsq2LYmVXtAQtBYpsobj1m815eHJVf2yAvErPXmfAwnG,513134300555386000000,
13HPwDoSZUx7KxA2WweCNcECj4zN2JiJktX92nHkA8qbCTec,20525372022215400000000,
15DLiq6NMYQn3cCCNjEemAqq7kqURaVMmrBgJYk1akiPXcYP,5741007521065210000000,
15MtM6tn2aM4G3CYP2SyYUZXniQXyxNqvrr64Hv6AmxF14fm,3078805803332310000000,
5FZBmoDMD81QKztNWxywr24TC7VQJTLWcyVTTAJMXc9cutQ9,238053975890265000000000000,Parallel. Substrate Address. Participant address is 13wNbioJt44NKrcQ5ZUrshJqP7TKzQbzZt5nhkeL4joa3PAX
124TsD5YatCYTj485isjFBFSi9LsFKkWBaJp9cVsKfc7wiy9,558859139218737000000,
1499ynwVjEAGhzbTqsmrji8i8tqRsuVHkqGJvYs8rXFtZZpk,1373777374952240000000,
12zcp7oCpMv1Lgtjw3eQAQpqm52GcRE4FSHn9aXmazQxXK1z,718388020777540000000,
145V9hjwXSBY47crkQxu74f867WRsr7VnZKr5qsxKU4375GF,4310328124665240000000,
1urrYmYqr9noUaZFz7DwrMVZ37fgYhPp5DsvvJJ73uQfLyy,2849165502489710000000,
16AXeGL6QKfaidvPxiYzEP6XHJ2aMi8zMhccYzZBVspuUmWX,1117718278437470000000,
17LokrHZEeREZmdLQ6qmsPhcJP6NGJgGaZd612yC76DYVis,59385913921873700000000,
123xzkbEE8pSH6iZZiRPyL7TcBC1BYjVWXbS7vw2qvqknPfe,1524161288778370000000,
1Ytp6oe3VTgDbU4cEJf3Cm8MBAWwWNt4VUsyGSFUHR5H9BX,513134300555386000000,
146WcJxpmUwa8vcZo2zZpLvn8VnytR3dVvrX6ae7cyhthE1Q,1026268601110770000000,
1egP4P8v1tYyewY9umGxQWCKaQEQRx3RopWTxz9Nvr9CaLD,7498873540789600000000,
13Y3ba5vRinUEvZid7mr494Eum2zuzCetV1eVrvyFRyL8Zx5,9236417409996940000000,
12mUxX3WvN6SQ6kpP2KCDEdMTKZVhjRetBKr5VhzT9UMomvv,2142537202221540000000,
13rXYgaEGmo27tkCuRM1PnUNQtbmTDRRMprAMjpeq1GpSkkj,36935508564729300000000,
15m8YFpghHBiMj52gmZ1ZKJN3EgrY18KxUiEWZGPcozq2QRx,1123641740999690000000,
13wcEK6ny74FnWjMM4RqLf3Ks86m6DyzdSBdtakzbKmu5SaM,508053762926125000000,
133QT5z2NMxQhyYWg2AZD4vcSvZbCEtwHiBynjZBWrobjmCY,513134300555386000000,
16mDxb3aLtsjMmSTEVVUH9dZegJ9QjW7j9jxhjHQmNSvCnVT,51313430055538600000000,
15fGauoRWhGLKz81vSSJ2ADC17SqnMHR767QEuDRGrqm3a8t,508053762926125000000,
1BmbAv7t59oRcqa4wNyiSVHRBrPkESnkqGTC96ybcTFKfFq,513134300555386000000,
15abPBmJrMY7QJeCEQJQbQ9a62A7ndfTo8KC7Wn4dzt9zMMg,8980471441967200000000000,OKEx
12rbMahd8w9iHzyxW3KyVBMEMyJgrVzaNFmQkus5DVfDrxuR,563939676847998000000,
13ahMBYkEeUGskY5LFUxcTawMqDvkLSVMGmURTErHbmwYxSH,25605909651476700000000,
12L8s9oPiemF9Zsmrp7GLQDghzGcv3cUr2f7VHA28frGFMUo,513134300555386000000,
12ig3JGpsK5j7UP3vywcHqbFDHihroZNgYP698hLCXuEyzBZ,812886020681799000000,
15PrqoMuhejeShmZHDt4XN6hXocdjKiLxE8NKBgsVjrZXtBm,513134300555386000000,
16DgcJibMh4oJ5js7F2R49dZX2kpsiFjBBC45RMaK3pBHCYt,508053762926125000000,
15rqX3N2VAjKYYhrxPqq4oJfTSN345Bt5vQ7L7Q6634hxKGi,508053762926125000000,
12CJVJUzYjG8Wamt5wE8TJ3bosYRUNQBDgLzLW118WnNGrkB,513134300555386000000,
162mf6ztcQB4pgDpsn52YcKmsgmnUyPYsrt1XB48UDVUDSLN,4197438578543060000000,
15DNbiERBEkQf3bageptYTd3hKbaJ5zHP1mCX5h8FZPMv71c,7519195691306640000000,
1Ni59acnprKfFoG2Ec52FqKxvvGB5YroKnBhcsJ2Afh36pW,9500605366718530000000,
16XMY4SQB3QsoRcePKBgbL9CyWohn34JWtJRaYTBt1DUodYn,3048322577556750000000,
15ynVj9P5VYYXovWcXMg8dd9b7j3mt6bzj4a6SHC87Gkh6Wp,508053762926125000000,
165W9VzfVo89ouz46zbUzC8NwWRmFeKEszYDpNqoCbGNSBPP,513134300555386000000,
16aFVeWtPCHycJaWJrYNQUHrGrbQtKWzHiWV8K5CBbcEC3gd,508053762926125000000,
14uWNsEJKbAYME7XXM7xNQVnKdXNnUAvdDzzgzBb8EWGBnT8,5080537629261250000000,
15oJyvyTvQnkYK4t7LqWq8upe4GsiUHLYAR7ANxyambjR3Cw,513134300555386000000,
1niEyBcTqkx5NqmorqsBJMGhtnR3WzXUuJcXmMrzzhrM114,1026268601110770000000,
148rZtyFAzNur9JVrPyDLXFvsvBYXaG41tbEr2DFQAbRrzQH,294321235878135000000000000,"Binance/ Participants address is 1xhXb5ZjsKpN1xcvTNMuThndfb1WP9saLKMpNxofGm64U2X, but we need to update"
13mz2bdVs2zywLFz5bHKGrkuWEc9Z9wbusHhGYw2MQpC971K,709243053044870000000,
1NQUmvUR3i2DrWtuKyDR71CbKxn4ukajZGZsbyymhp11MSR,513134300555386000000,
16fihx5ra6ij5m9c7Njx2xbpnUEjUATTrDcWAzeL2bjk9tai,523396986566493000000,
16SGtHPVcJZJdsCRRb8sAnCzn5QCvUugAXzhQHgYT5tddGnk,2873552083110160000000,
12W4bRKZqAAo9AP3sMnqjQGvp2QC3btPp97R8WSXE4fFF4Cs,2235436556874950000000,
15KFCYLwwPTRjU3Df9mTXeip1nC11r5FCd1b5esZZ8d3X6Yv,1026268601110770000000,
14ksp7SRMvjFaKuE2kLvEVTwGjhbt5TUKaGK6sew6v3X3uHq,1169632775210740000000,
1LfG9M5j91Qqzo4GR3fGTGkYPp4rvWoWW4zmsp3XUyiJpZu,2565671502776930000000,
1568ka6TwQEB1zCvhsACNUL4voK2KFvyH4Q7EGEYxWHmyTYy,508053762926125000000,
1635WjpXyQK1cToLEbusZNWyoDbi1458daxBaDejJQN3mgKH,2461012427614150000000,
1uedKkBpWseZNHNa2C3Fs12qiwJtYtxS98AnetdE1UpaoCP,3048322577556750000000,
13v3Gf7FusDVVssoWaLZhJiqk56UutJ17pCXUp9r5sjUqiAV,205253720222154000000000,
15otVrvTtSkpXd6xSA1xmw1VetFBKA1T9d9mNkwqEVv6SmWV,508053762926125000000,
14dfhLnBiXzKXnqng6DZcRRzQDkKdLqkr7k2A4u9hkcRBV5t,8199987733627650000000,
13R9P2xn2yMyo7eVEBaXo1ehAa9AaqF52P4Di9axtFsEbiiZ,8610495174071960000000,
13giewQtD6vhzPsAHoBN9BTiMFkDXi6oAToUKNinT64W7VYf,410507440444309000000000,
13zTawzeXCkuhcg1mFajtYqNXTfw6GXTCDbadugBJGjrw5rk,513134300555386000000,
1hcyKFrzt2pa834HxQRGfmBsjyeDXVaD7dxFci1rGbyyU4x,9188660356281890000000,
12GhnqWVvBjcrwGa88NRKaDv8XZ2DVCQf9uz6h23HgRxX7DA,34327116114516700000000,
16Dpn9rekik1uopufgQd24rra3gqEZmq5x4tyAk9ooTrBEEh,10262686011107700000000,
145Vp92aZwyCU5oNpaibVuPhjbvGPRMpvoFDfE4PdfDu6dA,513134300555386000000,
165pB5SZvQwNTrc8GRuSnLMZRL5FDn2M7asCS5Sf1v6pvQGq,2052537202221540000000,
12zcchiuBVf5qtJhzXfGYyVu7GveNudSyQXvJ6rqo84CX3eZ,1026268601110770000000,
13H5UPuCr3ZMLTxtz5imTUntyuhk21iXXvp1gSoP9PdzKs2J,1066912902144860000000,
14oQPQBhXptyv4f6pNuq6oFRQYrmEasveNXwWsSwfF5y7Daj,762080644389187000000,
16SK2ZoXX3K5dWqG3VjBb616tqJ1NRGGDnVsaM6KST1r4m1D,2032215051704500000000,
14JS4rYo9AEgBq9qHoRBod9cUySoa92NCGAq4MCWDvTbhGFF,10262686011107700000000,
14wLs3mhXrcDRL9zVNrbQsgixungSBqu3J8rvH98agjKgHAB,7697014508330790000000,
12GSdH5xgiyCjNDhCooSRVkLb2YHGzkHnadUwsgjiPtLG5zf,513134300555386000000,
13eGKiWK7zAxpkWXCxKhbBmCH5a5VPes8XqEtbkzLizJxaD2,1016107525852250000000,
16FUE1CfZa6Yo2EgztjkSmtyXDLR5nMW7QSAFDUdwGSBboDg,1016107525852250000000,
12Bjoz2H7A1YDsYy656QfhYz7Q2Rods4GmFfRKiXMKazR9RT,31463769538014900000000,
131BS7XTLHba82AcYeC4VR653R9tyaaVCztg1GiMDPCX98g9,1016107525852250000000,
13VLsVNrEL5NQBohFgnzuvrzV6vdrkEARZ4mYsKAtFSYHcgY,2873552083110160000000,
126a9GRKNzQDQwBxd3Q2BE3hDiJxQQV6wYSe1F6C2LUrQ7Bc,513134300555386000000,
145VPobaZ9VNtZkXFSTkrEUgJFQqamzpqjsfJSoFgAfv87FN,2032215051704500000000,
14mgsfVZoWzDDCNHnipgXuru9N3nrtkrZxTHLTfJ3UKcTm7A,1939647656099360000000,
16SDJK7YAvd3B7WNNF2e6qmYsnBKFr77ZvKNhYG4ngPsR1fz,508053762926125000000,
16QLoBBL2Vw8ccA7xd8g1rxhRfqoyFqNGYEEEGpLocgW2mkm,508053762926125000000,
1xvkQyi2MudW9h1XmrZe49skBKTCDqDEgwdqQ1Hntfc4CyK,40508053762926100000000,
13WKxChZWppTUXeDbVfVuWAeYuafEKFiJeKyz8S9252UAuiM,45115174147839900000000,
12aooubrxKSw4EHna8he91Fhi9CEAfNJrgXergaHXzT9qf1u,5131343005553860000000,
124TU49pVztoKKcRa3mxS6PNymxEvKFgqxEzeD4JEqrHimZ2,538536988701692000000,
14SXwXV1J2NNtoJKgThvrJciUyjAUa3EzfwfWivde5cdopmL,1318467990972910000000,
15faFvK41Cy1Ee53NPLAxvVdDjdKQwKpMUmKcAKpTn64882E,1436776041555080000000,
14emGJXjvLDqCdEFNvBWHy84A7wTJtGyXx21HZDB6tcuEpP,3078805803332310000000,
17K9qg5REZQ1JEZYAJRwBTKKaSUH5wxjXRfZV86M8D7XkJW,1016107525852250000000,
1qWMaYLmPNfqCYLNvBc8xrcpzFj8grquZKNLQNLF4ktuShR,1364937239477330000000,
15Pf9kRDEc3eniNKs6wmENWfSdNMXjapKtf5a4L75wcgTteA,508053762926125000000,
152RGXHicrcvCGn8ZUVhuT5j86afjo9mkrKWyxnb83YqS9zi,3078805803332310000000,
12x8fTA9vf6KEnSUTE84K6pTn9hwnRPyMT3Qs6MuySY8xQ1g,1016107525852250000000,
16aeLvmCZAmk6YNggk5oMQCV2SDqTjGraJUdYfkTRiH3872a,14573014135773000000000,
13Siwz7Tj4BWpyrzSi9nSq5ZwHbezzcEqH3z5xsJvf1idBX4,1026268601110770000000,
14XwcA3e9uHw8y9UBKuEduFtKB3LoPcjJoW1sWqVD9wa7Pjf,513134300555386000000,
12WgbNqTiLQMQLLqK78fHCgChe9ze5A9xd8mXcN6CWpJ5RPD,513134300555386000000,
15dXHgzeoFU1wuBW8J6W5omLfv6mRgqiA7EMGaAUPegm6n8U,20322150517045000000000,
126ySKtiycZo6fN6dHYtNhx4wLsvP79EcYCMP6BRMVLw2ciQ,15907163317217000000000,
12HjgJyjVd8TXhHi68MnTTTVHVN7Z2payDXNu7CirJhStKb1,1539402901666160000000,
15UoeGVMnwAR5SgVaiSuK8LpWHjwr75fqwi2hTzLzkHPD9fd,513134300555386000000,
16SWh9HPLjg5X3auiJfPV2Yh6bwdUV7wWPFHzYBzzXbbGZRa,81288602068179900000000,
13DxsWiay2pAALvL8vh4oUsxQt7kbucyyGf369GKZvbfTT3C,513134300555386000000,
13KhW1SwkfWmJbtpLgjh2YgMSkSh8tPYVYHFgpKiQGGGVHpk,1334149181444000000000,
16MNc1tePtaKeKQXjmf6wQ39H586tyKbMRFuGwTr2RiMrift,563134300555386000000,
1Tvysfm8TcCjBZSxUMwCSeoRmLLotK2ZwgrNGjqRnrHMo5t,1127879353696000000000,
15aUAyGoApfh35e9itvMqf9JtU7radEoQhL6fKoJVYB4zTL8,508053762926125000000,
12L8NQKrZpGL51iTxme57joR4nMsDJwrEpSztMwp9pQ4m262,1524161288778370000000,
15wKBbosLBnRF2KoqiGdFNPToCnK24tf39P9LY1B18jjcUnB,1016107525852250000000,
14rz7soxrPR7jdfUcrkoYyjFpob6YDyKB7Zpxw6mrn7LCK2x,1539402901666160000000,
13uiJuMiPFjTnX1KwYf47bwMCtNqkzBpWcMZs7sYDu2wuXhc,1539402901666160000000,
146Ez38EkH6JCpGQUZWsLdCjzWGxCPxBkZXcGzf38QycGBHx,2213203819365760000000,
14zESQz6JNKYFwrhZVfcddDq5mcLA1FV7tGVyhREHqYnW3Jw,563134300555386000000,
15qmt7KmKw66P8t3AfAp3XHTmUkkt4WNwNFBq8c4tmPQXwZT,882590996955264000000,
121egT8B7KBSemmuXTGLs2SAxyF2LAfdPCfXLsB5ypcqwdSE,589342364994304000000,
12in7txJQBFYWuJCcuYsTFyxvavBsQPx2Z17VrfFSJYfpzPy,1524161288778370000000,
1yFTprSBcw1txa9Bix5RnEP1MxUWmSRu5HuS2h7GApz9sW9,1127879353696000000000,
12b48RCwjMAHZv9226mJfGsjjqnN9xGgCG3Sa4b5CzUPaF99,1524161288778370000000,
13gf5omfBfF3ZRM3cfQcA9kupJyAmb22bZw149riX3bRMMeh,43121718278437500000000,
13RHW57ubRWupCeJ4bbR7Fu8WY6WkCGZqKcgJjHia5yqc7KP,1139158147232960000000,
16RnWJA741NLNbg5oRSZPPxKpxxrrv8peXhSbxqXMSGYNfYK,513134300555386000000,
1WWQ4h8u1TN43hrcvv6rWdYvWJ3qvaC8RcXViR18n9h5ZRg,28156715027769300000000,
14SRFs4fjVxSSLdTeDSgutDZ7ZqxBmoZ6TiAz7dQ4rmLehSo,4511517414783990000000,
13Y1bcEiFifcuKwAkRKfnt5GLoZPkgqSvuE8oKE3MgBmW182,28156715027769300000000,
13xHvRaoiHoR7tocuJ2zoUCSVFqwJH8oLuU53PyXKLgDcvnV,1026268601110770000000,
12QskkZCNDBvB5XbKDKwYXNRTKy9JhYqFLNPe4JHhfbipD13,1016107525852250000000,
16LWkYhMtqzqzLCZFGqT8bgu6Qw4pVEdPDFooSRP7ee1ybTX,1529140215655050000000,
13WFbx4fwcozeyyMmAj1PjWqwZswX3FnPRYqirjertVrVd4a,834275084100989000000,
15VqPkvFRDqki3mv1A5AXGN1xjXNC5NJ94rLCnSdi8gXvGfz,6401477412869170000000,
12LJia7WKPcNNQBhDDGi2BVhgvQ1FSURMQVozPXpWvUojfjP,12007342632996000000000,
12RMbcuyQZQdNXKTYhGHPYVbFwbcbAgzEkctovb2Jo7W5Q1g,7509871251578410000000,
13K3XtDTRVzY5J1K4KexQ8xMd5ZKE33NSjGxnWQk1KL9UpUd,2913490319801070000000,
14VHntan6v39XZcKjrV6zpsyFb51nTY4FevTcMobBhKBLGyZ,1794358810240110000000,
1EPeQyFRBdvm2wS1bkEkbSwjcpsYngpPS8XtKc7pJzMT6Ge,1127879353696000000000,
12TP5WXnYVZVtw6AQ3y2uhnHtkJS1f74TGnNvhQzctXMAjdB,615761160666463000000,
14uGvmT4FbT8rggdfVgwZKqumbokDQVXSAJN16ksGwSqABSB,10262686011107700000000,
12gHSwhRGfmNQ34X18Bj8pgnLP5dwuSpWBg6n4iXU1eDS24F,5080537629261250000000,
15quaPLuFbUzNNu1fcbU4nmpSCUngqGiv2zhGw7fj76nwpti,17376337439180100000000,
14tye3sQ1L3z3p4DSKhvhbXFMW6jQfFQYFd5xi4LBhJ2TJem,25656715027769300000000,
13ra28wjDmTUZEWzjUDXcYT9HdLvJHz1bZeo3v33dz6dLyWw,55443337944374600000000,
16LUX5J22CcdXzLMt9C54Czg84eztrKn81ay3xajgk84i6Rk,7173617521764290000000,
13p5fPfG4oHJeAFDxtwLY2qzfGgsauKLmJ2trak9UjHPxNw3,39195360823442300000000,
12gYirKYtWwa7UdvaUpNep2mRPW14v3wqHcqTskx5etwhdB7,2871519868058460000000,
15BYfQTSPqmGSLt9XiQhF3uYbKYN2g5Ax5rFozAsptanKqmK,104166263012743000000000,
136U5GvVMZWspVGnM7Nt78geEJo2eXadNcuKrnxxMQfGTwya,4105074404443090000000,
1bpDa4ciar5r2bkw4zLJRyq24fxTStwNqbyxdcNReZPPD4n,508053762926125000000,
12uwMa2YJrnT93UUUQagTQFP8JWpRWFzyseRVBwAAJM1ADWu,513134300555386000000,
15G88cVjRt2vHf1hwUvkyHx1kmthYTeJt9LgmHVSBCc6ZWQr,1016107525852250000000,
15i3AZpKhcBYWTz65g6rRcT3UhWAY8VoaFGN2qtpbeu4CGBy,1127879353696000000000,
126w8hdGLmEo3yudm3YGKwjtqn1Mbr8Bo8GLtt9V22qP4ozb,1789640807165020000000,
13bSFLAc3rmueFnZyuKc2PxbSoVcUdehp6x2gSLPAfQXWb71,2957736591627020000000,
14VgNKbWX1bnRrXMDskzFAWMXD5mv7mnJWNAMKaFZBANzQc7,508053762926125000000,
1e9yWmB3uAecEZaRdWqJHWfn9ooSVzi6tiMFURvSfwriRLr,513134300555386000000,
142pmTHebjK9quvqayc8sqho1mU6tS9aUY8ZDLYbixCKrpYR,513134300555386000000,
16i6hjPWyWjCY1T5APK67PcDg5Wr2EB8UiPzJJZHiNWZVCyq,50805376292612500000000,
16Fq9JLFVDwFfNLR1UZeUjJKV5rkwLZ4ghUGqR3vaqy7LtQm,4618208704998470000000,
12jVd8dUTiL1RHdXN17mp1oEuHH18Nay8Uy9RfasEpsr7oYD,513134300555386000000,
15BTuh74g4WNZ5n7YZHrVp3PTUXAterSBXaddyTXL2nWT2Tz,6958890554672910000000,
12xPqNPHw5MgZC6YDiQH47X3CejmZuKqXKAA1fpASRynTeqk,22577909224437000000000,
142p1xyt2JQqb3LRYrcwGNxnBPzKNqo5Qt6EAaTdq4nm3BEc,1539402901666160000000,
1ufhmpZMxMgBzfWrWx1KdUAox5hxe74vWsqTSMkASQwS9kR,513134300555386000000,
17CbcfKsNPf7Qn3pxdS94rag3JnNbVCx81tnwLVYDzMQqHT,2665250040310450000000,
12y1wnh4MFJAEGQCpQm3nep578wFVTSkKQYruCrZ4qJYCaMS,718388020777540000000,
148P1eeBgYsDhXNHRNpZUwCCqLo4cbq1yYnPrzVwjC3ToLgq,1231522321332930000000,
124cMNmxTrwk7dRJYxxQgwi391YrbzSraTf9UC9UnYUc65r2,8169504507852080000000,
1Nv2qeU5bCyyT118vfSxmrDQopiXCBLa7wKD34gHGJzsvst,513134300555386000000,
143ri3DeuQDHnFAGQSAiAfAtkHj5vrESYdmoffLRscFngcMs,10262686011107700000000,
14XrC1uhdxZoYKjWjNr82PUc7ZaE2MtJsggPthmh8Dxt9XPY,5791812897357820000000,
1x8Ag4Kn1TkPPS5abTeWPwQDwT5W9bWQFjnwe8fWX7i5Vwp,3284059523554470000000,
15PizJTNcxKVzDhu15UM1fBm3Q369FJJzVkV4hVhiWhBTMss,52542920161819800000000,
13GXd4gUWkCAeAijtJdy9AUQ6BucECZB9buM4M1PoNfRVKh1,4521678490042510000000,
16g8zZumhgRQHUb15GXBNorrBYuoQeAy6v5eUXTzfH2Bvab,1369329031022700000000,
153SNu8a5H2vvWeMqTJ4bJPRxY9iQ8Ywy1fCPmyXYhqwiFnr,5384564510724310000000,
1YyN8CLq67h7X2oKvxmWgyWHt2J8hqgpUr9FD1m5TjjTiWB,6096645155113490000000,
1rz3oqfkHmFodRGckQ7wj5MZYnCwrgkwiDoptDtLAv5GKn8,523396986566493000000,
12HUWDqJacU1ZNgFGBMS7MCRwYCh3j9U8PnzMVavQixPS2wg,968625926276399000000,
1cP8DPMrz38MxJqVSuUTKf1bzCxQ82McXDCpR76qKj9Ez5j,508053762926125000000,
142oZeLKSXg4JMw2JfgAt3ZmE6TjuWAW1AFYJ3Rh6r8PtX91,1016107525852250000000,
16DUK38x2GjmrNztB8smS5oe1i7wi9qpjTxM8mfLJFXdTFB3,1885362664879500000000,
12xrbmwXutYeeCBQ6R2zcVgsTxnpCGX7nLvL7q34vVyAqGbz,1898596912054930000000,
146ZnwkEeJ4qM5esZ2mgv6zA95wsFA1byoxiaa2swiSmr6Zo,124794261895070000000000,
1EqexqSqeDCur6vRxeisEvXN5PBAHv7UG1memXZpHtqbZPB,1800716331721700000000,
1pnoPAjq7vrWMbqD8N6S43tbr76r4FYZYjd99a4YVWW7sWK,536327970940489000000,
13WMUQu2o9Ej8awtKJT1uu958dheLhnkYSeG8tsZHeE1onFn,22001776257278800000000,
129NvGVZTXejUQ3TmiSPVpTT3wtyYtxKD5whsgmr6xZZKCyG,1422550536193150000000,
14iVWcasJRr9zJnbDPaahhN6PeQsBn4h4j16bHRenovjwdgy,1728029761777230000000,
16kMoAFhjBHcVs3oBdLqgAc3orxsfw7wsskJCWyU8BwofdwT,643134300555386000000,
14BM99qt9XnkuKvUyW1PX6dhUt4AC36mLzMJsbsCBvaG3cRs,5131343005553860000000,
16cLnnLCdFqziRbxUtzBsCEVrPMTZhuDsggVTqqtUcAJ5zKg,5541850445998170000000,
14GvDRtAaYMGMeCdUrmJqZFJkB93deVrCBTshE9pZRHpH4Sn,12294697841307000000000,
13gur8GrRgYdDypyjfbT8YCyHPvFdT7sDYjHP1xY7iTtMix5,30788058033323100000000,
16AVvH9jMxN8Z2iRQT8DKdQC1umQDGJuTkeDV6PFwSfmcwLW,2193785375335200000000,
13ikC3k38DCKGt21hZFeLaiU3K6fqCdMnPEyZmBUHBgrQASP,1026268601110770000000,
14tjb9rBFwd4M4MyNAREbNc9hDT5Bi5DyRyfe6cVaDerBuCP,4105074404443090000000,
13iMEFSjgqyhQMZMZFW4KYHDvS88ncLgVBiFJcC8PQEmUGhg,2768893007947380000000,
16SBH2qXvfaGvze54gXftpbu7G8LA3n7dQvS6yDwbLzZNC5x,20618403270906100000000,
1WqDkJxRLXBMVsSVEhZGvPCACsnXAdRn59vjVQMyEMFs4Vw,1669080751149110000000,
13YPejUEzjVWU5PYF3RtAhM3kcJwrfLkhqxBdEeofaJMoZwJ,51110208550368100000000,
13BJAoRhjB1rmg8xxejYbMzqRMzfsjmtJgeYRcbsfiJ7ScdQ,609664515511349000000,
1n1MJSZAFY3MTJKHDLmjhXApBn3ETVMwtMdT2CKNTpeKtVB,1016107525852250000000,
1123Q5AqZMe3kECKfDLQAqxyYZ8bqXvFahuSd3D9bYdHUjx4,9072460738283490000000,
12sggcJpTdh5sZV8jTWk1fMB8aLofEGaahhCoDrQCdbGt4Fy,1742624406836610000000,
14uav14uMG2ZAAx7Q9KfWvqHGjdWSPNUVEMoSAucF1SDxAuU,5080537629261250000000,
16LniHhyYFGd9KyHf7DBv51pXZgmBPRXcU4NmiuV89Hh2Ur6,1539402901666160000000,
13m4dJG1c22A8dZBp1B8jjWhkqb4wSJiw3hq4oGgHgAyesHS,508053762926125000000,
12KRToWY2otPXCvmf5z1BGW3dr1zYexMiduRAVqb9RpC4aXk,513134300555386000000,
1271E4NZ87X5f38J6NKtovmKW7U5aVBDyeh4rqhvBqsLRr6z,513134300555386000000,
14x1aTvsnG5Um7qQ35MD1bdVL7yhqNEeBsDRYvCfSZGNpwYK,2171040437581540000000,
